task,method,policy_id,check,passed,confirmed_optimizer_updates,optimizer_update_upper_bound,uncertainty_upper_bound
unstack_sort,APPL_6_xhigh,carry_place_clear__h03,runs/exp2/M1_astra_xhigh/unstack_sort/policies/carry_place_clear/heuristic_03/checks/00,True,2,2,0
tray_pack,SinglePrior_6_xhigh,SinglePrior_6_xhigh,runs/exp2/single_policy_astra_xhigh/tray_pack/policy/checks/00,True,2,2,0
tray_pack,APPL_5_5_high,acquire_block__h01,runs/exp2/M1_scaleup/tray_pack/policies/acquire_block/heuristic_01/checks/00,True,2,2,0
tray_pack,APPL_5_5_high,acquire_block__h02,runs/exp2/M1_scaleup/tray_pack/policies/acquire_block/heuristic_02/checks/00,True,2,2,0
tray_pack,APPL_5_5_high,acquire_block__h03,runs/exp2/M1_scaleup/tray_pack/policies/acquire_block/heuristic_03/checks/00,True,2,2,0
tray_pack,APPL_5_5_high,place_block__h01,runs/exp2/M1_scaleup/tray_pack/policies/place_block/heuristic_01/checks/00,True,2,2,0
tray_pack,APPL_5_5_high,place_block__h02,runs/exp2/M1_scaleup/tray_pack/policies/place_block/heuristic_02/checks/00,True,2,2,0
tray_pack,APPL_5_5_high,place_block__h03,runs/exp2/M1_scaleup/tray_pack/policies/place_block/heuristic_03/checks/00,True,2,2,0
tray_pack,APPL_6_xhigh,acquire_block__h01,runs/exp2/M1_astra_xhigh/tray_pack/policies/acquire_block/heuristic_01/checks/00,True,2,2,0
tray_pack,APPL_6_xhigh,acquire_block__h02,runs/exp2/M1_astra_xhigh/tray_pack/policies/acquire_block/heuristic_02/checks/00,False,0,2,2
tray_pack,APPL_6_xhigh,acquire_block__h02,runs/exp2/M1_astra_xhigh/tray_pack/policies/acquire_block/heuristic_02/checks/01,True,2,2,0
tray_pack,APPL_6_xhigh,acquire_block__h03,runs/exp2/M1_astra_xhigh/tray_pack/policies/acquire_block/heuristic_03/checks/00,True,2,2,0
tray_pack,APPL_6_xhigh,deliver_block__h01,runs/exp2/M1_astra_xhigh/tray_pack/policies/deliver_block/heuristic_01/checks/00,False,0,2,2
tray_pack,APPL_6_xhigh,deliver_block__h01,runs/exp2/M1_astra_xhigh/tray_pack/policies/deliver_block/heuristic_01/checks/01,True,2,2,0
tray_pack,APPL_6_xhigh,deliver_block__h02,runs/exp2/M1_astra_xhigh/tray_pack/policies/deliver_block/heuristic_02/checks/00,True,2,2,0
tray_pack,APPL_6_xhigh,deliver_block__h03,runs/exp2/M1_astra_xhigh/tray_pack/policies/deliver_block/heuristic_03/checks/00,True,2,2,0
