task,condition,method,seed,success,physical_steps,elapsed_seconds,inference_chunks,inference_seconds,policy_invocations,source
drawer_exchange,OOD,APPL_5_5_high,6409,False,1520,632.17283231701,,,10,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6409/result.json
drawer_exchange,OOD,APPL_5_5_high,6410,False,4237,1660.4908351820195,,,42,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6410/result.json
drawer_exchange,OOD,APPL_5_5_high,6411,False,1490,640.9521147700143,,,10,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6411/result.json
drawer_exchange,OOD,APPL_5_5_high,6412,True,2067,772.9767169920378,,,15,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6412/result.json
drawer_exchange,OOD,APPL_5_5_high,6413,True,1018,515.6690304770018,,,16,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6413/result.json
drawer_exchange,OOD,APPL_5_5_high,6414,True,3118,1191.110854220984,,,25,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6414/result.json
drawer_exchange,OOD,APPL_5_5_high,6415,False,2625,861.6445528710028,,,13,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6415/result.json
drawer_exchange,OOD,APPL_5_5_high,6416,True,1093,434.53568444098346,,,9,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6416/result.json
drawer_exchange,OOD,APPL_5_5_high,6417,False,3944,1362.4169033759972,,,30,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6417/result.json
drawer_exchange,OOD,APPL_5_5_high,6418,True,2342,1010.4915995780029,,,21,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6418/result.json
drawer_exchange,OOD,APPL_5_5_high,6419,False,1726,655.6080165469903,,,11,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6419/result.json
drawer_exchange,OOD,APPL_5_5_high,6420,True,1920,834.3783882940188,,,17,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6420/result.json
drawer_exchange,OOD,APPL_5_5_high,6421,True,1177,432.16498067596694,,,7,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6421/result.json
drawer_exchange,OOD,APPL_5_5_high,6422,True,1781,739.2028173030121,,,14,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6422/result.json
drawer_exchange,OOD,APPL_5_5_high,6423,True,1381,538.3796542750206,,,10,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6423/result.json
drawer_exchange,OOD,APPL_5_5_high,6424,False,862,431.25225736002903,,,9,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6424/result.json
drawer_exchange,OOD,APPL_5_5_high,6425,False,3364,1118.160058804031,,,28,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6425/result.json
drawer_exchange,OOD,APPL_5_5_high,6426,False,1182,430.3132168269949,,,10,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6426/result.json
drawer_exchange,OOD,APPL_5_5_high,6427,False,933,450.99297469097655,,,8,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6427/result.json
drawer_exchange,OOD,APPL_5_5_high,6428,False,2863,1012.0514756640187,,,22,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6428/result.json
drawer_exchange,OOD,APPL_5_5_high,6429,False,2497,719.5874574210029,,,15,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6429/result.json
drawer_exchange,OOD,APPL_6_xhigh,6400,True,1044,313.8155491159996,,,6,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/OOD/6400/result.json
drawer_exchange,OOD,APPL_6_xhigh,6401,True,1220,400.6452109439997,,,9,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/OOD/6401/result.json
drawer_exchange,OOD,APPL_6_xhigh,6402,False,1170,701.3230335940025,,,13,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/OOD/6402/result.json
drawer_exchange,OOD,APPL_6_xhigh,6403,False,1070,412.481432487024,,,8,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/OOD/6403/result.json
drawer_exchange,OOD,APPL_6_xhigh,6404,False,846,434.3689764860319,,,9,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/OOD/6404/result.json
drawer_exchange,OOD,APPL_6_xhigh,6405,False,1160,584.3533173910109,,,12,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/OOD/6405/result.json
drawer_exchange,OOD,APPL_6_xhigh,6406,False,1084,543.8080062880181,,,11,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/OOD/6406/result.json
